"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Itgb7" "ENSMUSG00000001281_Itgb7" "protein_coding" "15" "ENSMUSG00000001281" "Itgb7" "Itgb7"
"Myg1" "ENSMUSG00000001285_Myg1" "protein_coding" "15" "ENSMUSG00000001285" "Myg1" "Myg1"
"Rarg" "ENSMUSG00000001288_Rarg" "protein_coding" "15" "ENSMUSG00000001288" "Rarg" "Rarg"
"Pfdn5" "ENSMUSG00000001289_Pfdn5" "protein_coding" "15" "ENSMUSG00000001289" "Pfdn5" "Pfdn5"
"Efnb2" "ENSMUSG00000001300_Efnb2" "protein_coding" "8" "ENSMUSG00000001300" "Efnb2" "Efnb2"
"Rrp15" "ENSMUSG00000001305_Rrp15" "protein_coding" "1" "ENSMUSG00000001305" "Rrp15" "Rrp15"
"Rnd2" "ENSMUSG00000001313_Rnd2" "protein_coding" "11" "ENSMUSG00000001313" "Rnd2" "Rnd2"
"Srr" "ENSMUSG00000001323_Srr" "protein_coding" "11" "ENSMUSG00000001323" "Srr" "Srr"
"Sync" "ENSMUSG00000001333_Sync" "protein_coding" "4" "ENSMUSG00000001333" "Sync" "Sync"
"Fndc5" "ENSMUSG00000001334_Fndc5" "protein_coding" "4" "ENSMUSG00000001334" "Fndc5" "Fndc5"
"Acp5" "ENSMUSG00000001348_Acp5" "protein_coding" "9" "ENSMUSG00000001348" "Acp5" "Acp5"
"Cnn1" "ENSMUSG00000001349_Cnn1" "protein_coding" "9" "ENSMUSG00000001349" "Cnn1" "Cnn1"
"Fbxo9" "ENSMUSG00000001366_Fbxo9" "protein_coding" "9" "ENSMUSG00000001366" "Fbxo9" "Fbxo9"
"Vps50" "ENSMUSG00000001376_Vps50" "protein_coding" "6" "ENSMUSG00000001376" "Vps50" "Vps50"
"Hars" "ENSMUSG00000001380_Hars" "protein_coding" "18" "ENSMUSG00000001380" "Hars" "Hars"
"Zmat2" "ENSMUSG00000001383_Zmat2" "protein_coding" "18" "ENSMUSG00000001383" "Zmat2" "Zmat2"
"Ube2c" "ENSMUSG00000001403_Ube2c" "protein_coding" "2" "ENSMUSG00000001403" "Ube2c" "Ube2c"
"Smg5" "ENSMUSG00000001415_Smg5" "protein_coding" "3" "ENSMUSG00000001415" "Smg5" "Smg5"
"Cct3" "ENSMUSG00000001416_Cct3" "protein_coding" "3" "ENSMUSG00000001416" "Cct3" "Cct3"
"Glmp" "ENSMUSG00000001418_Glmp" "protein_coding" "3" "ENSMUSG00000001418" "Glmp" "Glmp"
"Mef2d" "ENSMUSG00000001419_Mef2d" "protein_coding" "3" "ENSMUSG00000001419" "Mef2d" "Mef2d"
"Tmem79" "ENSMUSG00000001420_Tmem79" "protein_coding" "3" "ENSMUSG00000001420" "Tmem79" "Tmem79"
"Snd1" "ENSMUSG00000001424_Snd1" "protein_coding" "6" "ENSMUSG00000001424" "Snd1" "Snd1"
"Col18a1" "ENSMUSG00000001435_Col18a1" "protein_coding" "10" "ENSMUSG00000001435" "Col18a1" "Col18a1"
"Slc19a1" "ENSMUSG00000001436_Slc19a1" "protein_coding" "10" "ENSMUSG00000001436" "Slc19a1" "Slc19a1"
"Kpnb1" "ENSMUSG00000001440_Kpnb1" "protein_coding" "11" "ENSMUSG00000001440" "Kpnb1" "Kpnb1"
"Npepps" "ENSMUSG00000001441_Npepps" "protein_coding" "11" "ENSMUSG00000001441" "Npepps" "Npepps"
"Tbx21" "ENSMUSG00000001444_Tbx21" "protein_coding" "11" "ENSMUSG00000001444" "Tbx21" "Tbx21"
"Mrpl10" "ENSMUSG00000001445_Mrpl10" "protein_coding" "11" "ENSMUSG00000001445" "Mrpl10" "Mrpl10"
"Cyp51" "ENSMUSG00000001467_Cyp51" "protein_coding" "5" "ENSMUSG00000001467" "Cyp51" "Cyp51"
"Tcf25" "ENSMUSG00000001472_Tcf25" "protein_coding" "8" "ENSMUSG00000001472" "Tcf25" "Tcf25"
"Tubb6" "ENSMUSG00000001473_Tubb6" "protein_coding" "18" "ENSMUSG00000001473" "Tubb6" "Tubb6"
"Def8" "ENSMUSG00000001482_Def8" "protein_coding" "8" "ENSMUSG00000001482" "Def8" "Def8"
"Meox1" "ENSMUSG00000001493_Meox1" "protein_coding" "11" "ENSMUSG00000001493" "Meox1" "Meox1"
"Sost" "ENSMUSG00000001494_Sost" "protein_coding" "11" "ENSMUSG00000001494" "Sost" "Sost"
"Nkx2-1" "ENSMUSG00000001496_Nkx2-1" "protein_coding" "12" "ENSMUSG00000001496" "Nkx2-1" "Nkx2-1"
"Pax9" "ENSMUSG00000001497_Pax9" "protein_coding" "12" "ENSMUSG00000001497" "Pax9" "Pax9"
"Irx2" "ENSMUSG00000001504_Irx2" "protein_coding" "13" "ENSMUSG00000001504" "Irx2" "Irx2"
"Col1a1" "ENSMUSG00000001506_Col1a1" "protein_coding" "11" "ENSMUSG00000001506" "Col1a1" "Col1a1"
"Itga3" "ENSMUSG00000001507_Itga3" "protein_coding" "11" "ENSMUSG00000001507" "Itga3" "Itga3"
"Sgca" "ENSMUSG00000001508_Sgca" "protein_coding" "11" "ENSMUSG00000001508" "Sgca" "Sgca"
"Dlx3" "ENSMUSG00000001510_Dlx3" "protein_coding" "11" "ENSMUSG00000001510" "Dlx3" "Dlx3"
"Foxm1" "ENSMUSG00000001517_Foxm1" "protein_coding" "6" "ENSMUSG00000001517" "Foxm1" "Foxm1"
"Itfg2" "ENSMUSG00000001518_Itfg2" "protein_coding" "6" "ENSMUSG00000001518" "Itfg2" "Itfg2"
"Nrip2" "ENSMUSG00000001520_Nrip2" "protein_coding" "6" "ENSMUSG00000001520" "Nrip2" "Nrip2"
"Tulp3" "ENSMUSG00000001521_Tulp3" "protein_coding" "6" "ENSMUSG00000001521" "Tulp3" "Tulp3"
"Gtf2h4" "ENSMUSG00000001524_Gtf2h4" "protein_coding" "17" "ENSMUSG00000001524" "Gtf2h4" "Gtf2h4"
"Tubb5" "ENSMUSG00000001525_Tubb5" "protein_coding" "17" "ENSMUSG00000001525" "Tubb5" "Tubb5"
"Ell2" "ENSMUSG00000001542_Ell2" "protein_coding" "13" "ENSMUSG00000001542" "Ell2" "Ell2"
"Jup" "ENSMUSG00000001552_Jup" "protein_coding" "11" "ENSMUSG00000001552" "Jup" "Jup"
"Fkbp10" "ENSMUSG00000001555_Fkbp10" "protein_coding" "11" "ENSMUSG00000001555" "Fkbp10" "Fkbp10"
"Klhl10" "ENSMUSG00000001558_Klhl10" "protein_coding" "11" "ENSMUSG00000001558" "Klhl10" "Klhl10"
"Mnx1" "ENSMUSG00000001566_Mnx1" "protein_coding" "5" "ENSMUSG00000001566" "Mnx1" "Mnx1"
"Nom1" "ENSMUSG00000001569_Nom1" "protein_coding" "5" "ENSMUSG00000001569" "Nom1" "Nom1"
"Ergic1" "ENSMUSG00000001576_Ergic1" "protein_coding" "17" "ENSMUSG00000001576" "Ergic1" "Ergic1"
"Tnk1" "ENSMUSG00000001583_Tnk1" "protein_coding" "11" "ENSMUSG00000001583" "Tnk1" "Tnk1"
"Acap1" "ENSMUSG00000001588_Acap1" "protein_coding" "11" "ENSMUSG00000001588" "Acap1" "Acap1"
"Tcea3" "ENSMUSG00000001604_Tcea3" "protein_coding" "4" "ENSMUSG00000001604" "Tcea3" "Tcea3"
"Csn3" "ENSMUSG00000001622_Csn3" "protein_coding" "5" "ENSMUSG00000001622" "Csn3" "Csn3"
"Ifrd1" "ENSMUSG00000001627_Ifrd1" "protein_coding" "12" "ENSMUSG00000001627" "Ifrd1" "Ifrd1"
"Stk38l" "ENSMUSG00000001630_Stk38l" "protein_coding" "6" "ENSMUSG00000001630" "Stk38l" "Stk38l"
"Brpf1" "ENSMUSG00000001632_Brpf1" "protein_coding" "6" "ENSMUSG00000001632" "Brpf1" "Brpf1"
"Akr1b3" "ENSMUSG00000001642_Akr1b3" "protein_coding" "6" "ENSMUSG00000001642" "Akr1b3" "Akr1b3"
"Hoxc13" "ENSMUSG00000001655_Hoxc13" "protein_coding" "15" "ENSMUSG00000001655" "Hoxc13" "Hoxc13"
"Hoxc8" "ENSMUSG00000001657_Hoxc8" "protein_coding" "15" "ENSMUSG00000001657" "Hoxc8" "Hoxc8"
"Hoxc6" "ENSMUSG00000001661_Hoxc6" "protein_coding" "15" "ENSMUSG00000001661" "Hoxc6" "Hoxc6"
"Gstt1" "ENSMUSG00000001663_Gstt1" "protein_coding" "10" "ENSMUSG00000001663" "Gstt1" "Gstt1"
"Gstt3" "ENSMUSG00000001665_Gstt3" "protein_coding" "10" "ENSMUSG00000001665" "Gstt3" "Gstt3"
"Ddt" "ENSMUSG00000001666_Ddt" "protein_coding" "10" "ENSMUSG00000001666" "Ddt" "Ddt"
"Marveld3" "ENSMUSG00000001672_Marveld3" "protein_coding" "8" "ENSMUSG00000001672" "Marveld3" "Marveld3"
"Ddx18" "ENSMUSG00000001674_Ddx18" "protein_coding" "1" "ENSMUSG00000001674" "Ddx18" "Ddx18"
"Ubl3" "ENSMUSG00000001687_Ubl3" "protein_coding" "5" "ENSMUSG00000001687" "Ubl3" "Ubl3"
"Gramd3" "ENSMUSG00000001700_Gramd3" "protein_coding" "18" "ENSMUSG00000001700" "Gramd3" "Gramd3"
"Eef1e1" "ENSMUSG00000001707_Eef1e1" "protein_coding" "13" "ENSMUSG00000001707" "Eef1e1" "Eef1e1"
"Akt1" "ENSMUSG00000001729_Akt1" "protein_coding" "12" "ENSMUSG00000001729" "Akt1" "Akt1"
"Cldn15" "ENSMUSG00000001739_Cldn15" "protein_coding" "5" "ENSMUSG00000001739" "Cldn15" "Cldn15"
"Il16" "ENSMUSG00000001741_Il16" "protein_coding" "7" "ENSMUSG00000001741" "Il16" "Il16"
"Tcirg1" "ENSMUSG00000001750_Tcirg1" "protein_coding" "19" "ENSMUSG00000001750" "Tcirg1" "Tcirg1"
"Naglu" "ENSMUSG00000001751_Naglu" "protein_coding" "11" "ENSMUSG00000001751" "Naglu" "Naglu"
"Coasy" "ENSMUSG00000001755_Coasy" "protein_coding" "11" "ENSMUSG00000001755" "Coasy" "Coasy"
"Smo" "ENSMUSG00000001761_Smo" "protein_coding" "6" "ENSMUSG00000001761" "Smo" "Smo"
"Tspan33" "ENSMUSG00000001763_Tspan33" "protein_coding" "6" "ENSMUSG00000001763" "Tspan33" "Tspan33"
"Crnkl1" "ENSMUSG00000001767_Crnkl1" "protein_coding" "2" "ENSMUSG00000001767" "Crnkl1" "Crnkl1"
"Rin2" "ENSMUSG00000001768_Rin2" "protein_coding" "2" "ENSMUSG00000001768" "Rin2" "Rin2"
"Folh1" "ENSMUSG00000001773_Folh1" "protein_coding" "7" "ENSMUSG00000001773" "Folh1" "Folh1"
"Chordc1" "ENSMUSG00000001774_Chordc1" "protein_coding" "9" "ENSMUSG00000001774" "Chordc1" "Chordc1"
"Rtcb" "ENSMUSG00000001783_Rtcb" "protein_coding" "10" "ENSMUSG00000001783" "Rtcb" "Rtcb"
"Pwp1" "ENSMUSG00000001785_Pwp1" "protein_coding" "10" "ENSMUSG00000001785" "Pwp1" "Pwp1"
"Fbxo7" "ENSMUSG00000001786_Fbxo7" "protein_coding" "10" "ENSMUSG00000001786" "Fbxo7" "Fbxo7"
"Capns1" "ENSMUSG00000001794_Capns1" "protein_coding" "7" "ENSMUSG00000001794" "Capns1" "Capns1"
"Lrp3" "ENSMUSG00000001802_Lrp3" "protein_coding" "7" "ENSMUSG00000001802" "Lrp3" "Lrp3"
"Dsg4" "ENSMUSG00000001804_Dsg4" "protein_coding" "18" "ENSMUSG00000001804" "Dsg4" "Dsg4"
"Evx2" "ENSMUSG00000001815_Evx2" "protein_coding" "2" "ENSMUSG00000001815" "Evx2" "Evx2"
"Hoxd12" "ENSMUSG00000001823_Hoxd12" "protein_coding" "2" "ENSMUSG00000001823" "Hoxd12" "Hoxd12"
"Folr1" "ENSMUSG00000001827_Folr1" "protein_coding" "7" "ENSMUSG00000001827" "Folr1" "Folr1"
"Clpb" "ENSMUSG00000001829_Clpb" "protein_coding" "7" "ENSMUSG00000001829" "Clpb" "Clpb"
"Sept7" "ENSMUSG00000001833_Sept7" "protein_coding" "9" "ENSMUSG00000001833" "Sept7" "Sept7"
"Zdhhc4" "ENSMUSG00000001844_Zdhhc4" "protein_coding" "5" "ENSMUSG00000001844" "Zdhhc4" "Zdhhc4"
"Rac1" "ENSMUSG00000001847_Rac1" "protein_coding" "5" "ENSMUSG00000001847" "Rac1" "Rac1"
"Nup214" "ENSMUSG00000001855_Nup214" "protein_coding" "2" "ENSMUSG00000001855" "Nup214" "Nup214"
"Aif1l" "ENSMUSG00000001864_Aif1l" "protein_coding" "2" "ENSMUSG00000001864" "Aif1l" "Aif1l"
"Cpa3" "ENSMUSG00000001865_Cpa3" "protein_coding" "3" "ENSMUSG00000001865" "Cpa3" "Cpa3"
"Ltbp1" "ENSMUSG00000001870_Ltbp1" "protein_coding" "17" "ENSMUSG00000001870" "Ltbp1" "Ltbp1"
"Ugp2" "ENSMUSG00000001891_Ugp2" "protein_coding" "11" "ENSMUSG00000001891" "Ugp2" "Ugp2"
"Kcnh6" "ENSMUSG00000001901_Kcnh6" "protein_coding" "11" "ENSMUSG00000001901" "Kcnh6" "Kcnh6"
"Trmt1" "ENSMUSG00000001909_Trmt1" "protein_coding" "8" "ENSMUSG00000001909" "Trmt1" "Trmt1"
"Nacc1" "ENSMUSG00000001910_Nacc1" "protein_coding" "8" "ENSMUSG00000001910" "Nacc1" "Nacc1"
"Nfix" "ENSMUSG00000001911_Nfix" "protein_coding" "8" "ENSMUSG00000001911" "Nfix" "Nfix"
"Slc1a5" "ENSMUSG00000001918_Slc1a5" "protein_coding" "7" "ENSMUSG00000001918" "Slc1a5" "Slc1a5"
"Uba1" "ENSMUSG00000001924_Uba1" "protein_coding" "X" "ENSMUSG00000001924" "Uba1" "Uba1"
"Vwf" "ENSMUSG00000001930_Vwf" "protein_coding" "6" "ENSMUSG00000001930" "Vwf" "Vwf"
"Siae" "ENSMUSG00000001942_Siae" "protein_coding" "9" "ENSMUSG00000001942" "Siae" "Siae"
"Vsig2" "ENSMUSG00000001943_Vsig2" "protein_coding" "9" "ENSMUSG00000001943" "Vsig2" "Vsig2"
"Esam" "ENSMUSG00000001946_Esam" "protein_coding" "9" "ENSMUSG00000001946" "Esam" "Esam"
"Spa17" "ENSMUSG00000001948_Spa17" "protein_coding" "9" "ENSMUSG00000001948" "Spa17" "Spa17"
"Fam50a" "ENSMUSG00000001962_Fam50a" "protein_coding" "X" "ENSMUSG00000001962" "Fam50a" "Fam50a"
"Emd" "ENSMUSG00000001964_Emd" "protein_coding" "X" "ENSMUSG00000001964" "Emd" "Emd"
"Taco1" "ENSMUSG00000001983_Taco1" "protein_coding" "11" "ENSMUSG00000001983" "Taco1" "Taco1"
"Grik3" "ENSMUSG00000001985_Grik3" "protein_coding" "4" "ENSMUSG00000001985" "Grik3" "Grik3"
"Gria3" "ENSMUSG00000001986_Gria3" "protein_coding" "X" "ENSMUSG00000001986" "Gria3" "Gria3"
"Npas1" "ENSMUSG00000001988_Npas1" "protein_coding" "7" "ENSMUSG00000001988" "Npas1" "Npas1"
"Sipa1l2" "ENSMUSG00000001995_Sipa1l2" "protein_coding" "8" "ENSMUSG00000001995" "Sipa1l2" "Sipa1l2"
"Ap4e1" "ENSMUSG00000001998_Ap4e1" "protein_coding" "2" "ENSMUSG00000001998" "Ap4e1" "Ap4e1"
"Blvra" "ENSMUSG00000001999_Blvra" "protein_coding" "2" "ENSMUSG00000001999" "Blvra" "Blvra"
"Pdzd4" "ENSMUSG00000002006_Pdzd4" "protein_coding" "X" "ENSMUSG00000002006" "Pdzd4" "Pdzd4"
"Srpk3" "ENSMUSG00000002007_Srpk3" "protein_coding" "X" "ENSMUSG00000002007" "Srpk3" "Srpk3"
"Idh3g" "ENSMUSG00000002010_Idh3g" "protein_coding" "X" "ENSMUSG00000002010" "Idh3g" "Idh3g"
"Pnck" "ENSMUSG00000002012_Pnck" "protein_coding" "X" "ENSMUSG00000002012" "Pnck" "Pnck"
"Ssr4" "ENSMUSG00000002014_Ssr4" "protein_coding" "X" "ENSMUSG00000002014" "Ssr4" "Ssr4"
"Bcap31" "ENSMUSG00000002015_Bcap31" "protein_coding" "X" "ENSMUSG00000002015" "Bcap31" "Bcap31"
"Fam98a" "ENSMUSG00000002017_Fam98a" "protein_coding" "17" "ENSMUSG00000002017" "Fam98a" "Fam98a"
"Ltbp2" "ENSMUSG00000002020_Ltbp2" "protein_coding" "12" "ENSMUSG00000002020" "Ltbp2" "Ltbp2"
"Kmt2a" "ENSMUSG00000002028_Kmt2a" "protein_coding" "9" "ENSMUSG00000002028" "Kmt2a" "Kmt2a"
"Ift46" "ENSMUSG00000002031_Ift46" "protein_coding" "9" "ENSMUSG00000002031" "Ift46" "Ift46"
"Tmem25" "ENSMUSG00000002032_Tmem25" "protein_coding" "9" "ENSMUSG00000002032" "Tmem25" "Tmem25"
"Cd3g" "ENSMUSG00000002033_Cd3g" "protein_coding" "9" "ENSMUSG00000002033" "Cd3g" "Cd3g"
"Trappc6a" "ENSMUSG00000002043_Trappc6a" "protein_coding" "7" "ENSMUSG00000002043" "Trappc6a" "Trappc6a"
"Supt6" "ENSMUSG00000002052_Supt6" "protein_coding" "11" "ENSMUSG00000002052" "Supt6" "Supt6"
"Spag5" "ENSMUSG00000002055_Spag5" "protein_coding" "11" "ENSMUSG00000002055" "Spag5" "Spag5"
"Foxn1" "ENSMUSG00000002057_Foxn1" "protein_coding" "11" "ENSMUSG00000002057" "Foxn1" "Foxn1"
"Unc119" "ENSMUSG00000002058_Unc119" "protein_coding" "11" "ENSMUSG00000002058" "Unc119" "Unc119"
"Rab34" "ENSMUSG00000002059_Rab34" "protein_coding" "11" "ENSMUSG00000002059" "Rab34" "Rab34"
"Sdf2" "ENSMUSG00000002064_Sdf2" "protein_coding" "11" "ENSMUSG00000002064" "Sdf2" "Sdf2"
"Ccne1" "ENSMUSG00000002068_Ccne1" "protein_coding" "7" "ENSMUSG00000002068" "Ccne1" "Ccne1"
"Hsf2bp" "ENSMUSG00000002076_Hsf2bp" "protein_coding" "17" "ENSMUSG00000002076" "Hsf2bp" "Hsf2bp"
"Bbc3" "ENSMUSG00000002083_Bbc3" "protein_coding" "7" "ENSMUSG00000002083" "Bbc3" "Bbc3"
"Mybpc3" "ENSMUSG00000002100_Mybpc3" "protein_coding" "2" "ENSMUSG00000002100" "Mybpc3" "Mybpc3"
"Psmc3" "ENSMUSG00000002102_Psmc3" "protein_coding" "2" "ENSMUSG00000002102" "Psmc3" "Psmc3"
"Acp2" "ENSMUSG00000002103_Acp2" "protein_coding" "2" "ENSMUSG00000002103" "Acp2" "Acp2"
"Rapsn" "ENSMUSG00000002104_Rapsn" "protein_coding" "2" "ENSMUSG00000002104" "Rapsn" "Rapsn"
"Slc39a13" "ENSMUSG00000002105_Slc39a13" "protein_coding" "2" "ENSMUSG00000002105" "Slc39a13" "Slc39a13"
"Celf2" "ENSMUSG00000002107_Celf2" "protein_coding" "2" "ENSMUSG00000002107" "Celf2" "Celf2"
"Nr1h3" "ENSMUSG00000002108_Nr1h3" "protein_coding" "2" "ENSMUSG00000002108" "Nr1h3" "Nr1h3"
"Ddb2" "ENSMUSG00000002109_Ddb2" "protein_coding" "2" "ENSMUSG00000002109" "Ddb2" "Ddb2"
"Spi1" "ENSMUSG00000002111_Spi1" "protein_coding" "2" "ENSMUSG00000002111" "Spi1" "Spi1"
"Sf3a1" "ENSMUSG00000002129_Sf3a1" "protein_coding" "11" "ENSMUSG00000002129" "Sf3a1" "Sf3a1"
"Stat6" "ENSMUSG00000002147_Stat6" "protein_coding" "10" "ENSMUSG00000002147" "Stat6" "Stat6"
"Clgn" "ENSMUSG00000002190_Clgn" "protein_coding" "8" "ENSMUSG00000002190" "Clgn" "Clgn"
"Napsa" "ENSMUSG00000002204_Napsa" "protein_coding" "7" "ENSMUSG00000002204" "Napsa" "Napsa"
"Vrk3" "ENSMUSG00000002205_Vrk3" "protein_coding" "7" "ENSMUSG00000002205" "Vrk3" "Vrk3"
"Smg9" "ENSMUSG00000002210_Smg9" "protein_coding" "7" "ENSMUSG00000002210" "Smg9" "Smg9"
"Paxip1" "ENSMUSG00000002221_Paxip1" "protein_coding" "5" "ENSMUSG00000002221" "Paxip1" "Paxip1"
"Rmnd5a" "ENSMUSG00000002222_Rmnd5a" "protein_coding" "6" "ENSMUSG00000002222" "Rmnd5a" "Rmnd5a"
"Mov10" "ENSMUSG00000002227_Mov10" "protein_coding" "3" "ENSMUSG00000002227" "Mov10" "Mov10"
"Ppm1j" "ENSMUSG00000002228_Ppm1j" "protein_coding" "3" "ENSMUSG00000002228" "Ppm1j" "Ppm1j"
"Rhoc" "ENSMUSG00000002233_Rhoc" "protein_coding" "3" "ENSMUSG00000002233" "Rhoc" "Rhoc"
"Prr27" "ENSMUSG00000002240_Prr27" "protein_coding" "5" "ENSMUSG00000002240" "Prr27" "Prr27"
"Tead3" "ENSMUSG00000002249_Tead3" "protein_coding" "17" "ENSMUSG00000002249" "Tead3" "Tead3"
"Ppard" "ENSMUSG00000002250_Ppard" "protein_coding" "17" "ENSMUSG00000002250" "Ppard" "Ppard"
"Def6" "ENSMUSG00000002257_Def6" "protein_coding" "17" "ENSMUSG00000002257" "Def6" "Def6"
"Peg3" "ENSMUSG00000002265_Peg3" "protein_coding" "7" "ENSMUSG00000002265" "Peg3" "Peg3"
"Zim1" "ENSMUSG00000002266_Zim1" "protein_coding" "7" "ENSMUSG00000002266" "Zim1" "Zim1"
"Metrn" "ENSMUSG00000002274_Metrn" "protein_coding" "17" "ENSMUSG00000002274" "Metrn" "Metrn"
"Lmf1" "ENSMUSG00000002279_Lmf1" "protein_coding" "17" "ENSMUSG00000002279" "Lmf1" "Lmf1"
"Narfl" "ENSMUSG00000002280_Narfl" "protein_coding" "17" "ENSMUSG00000002280" "Narfl" "Narfl"
"Angptl4" "ENSMUSG00000002289_Angptl4" "protein_coding" "17" "ENSMUSG00000002289" "Angptl4" "Angptl4"
"Dbf4" "ENSMUSG00000002297_Dbf4" "protein_coding" "5" "ENSMUSG00000002297" "Dbf4" "Dbf4"
"Daxx" "ENSMUSG00000002307_Daxx" "protein_coding" "17" "ENSMUSG00000002307" "Daxx" "Daxx"
"Cd320" "ENSMUSG00000002308_Cd320" "protein_coding" "17" "ENSMUSG00000002308" "Cd320" "Cd320"
"Ipo4" "ENSMUSG00000002319_Ipo4" "protein_coding" "14" "ENSMUSG00000002319" "Ipo4" "Ipo4"
"Tm9sf1" "ENSMUSG00000002320_Tm9sf1" "protein_coding" "14" "ENSMUSG00000002320" "Tm9sf1" "Tm9sf1"
"Rec8" "ENSMUSG00000002324_Rec8" "protein_coding" "14" "ENSMUSG00000002324" "Rec8" "Rec8"
"Irf9" "ENSMUSG00000002325_Irf9" "protein_coding" "14" "ENSMUSG00000002325" "Irf9" "Irf9"
"Gmpr2" "ENSMUSG00000002326_Gmpr2" "protein_coding" "14" "ENSMUSG00000002326" "Gmpr2" "Gmpr2"
"Mdp1" "ENSMUSG00000002329_Mdp1" "protein_coding" "14" "ENSMUSG00000002329" "Mdp1" "Mdp1"
"Dhrs1" "ENSMUSG00000002332_Dhrs1" "protein_coding" "14" "ENSMUSG00000002332" "Dhrs1" "Dhrs1"
"Ncan" "ENSMUSG00000002341_Ncan" "protein_coding" "8" "ENSMUSG00000002341" "Ncan" "Ncan"
"Tmem161a" "ENSMUSG00000002342_Tmem161a" "protein_coding" "8" "ENSMUSG00000002342" "Tmem161a" "Tmem161a"
"Armc6" "ENSMUSG00000002343_Armc6" "protein_coding" "8" "ENSMUSG00000002343" "Armc6" "Armc6"
"Borcs8" "ENSMUSG00000002345_Borcs8" "protein_coding" "8" "ENSMUSG00000002345" "Borcs8" "Borcs8"
"Slc25a42" "ENSMUSG00000002346_Slc25a42" "protein_coding" "8" "ENSMUSG00000002346" "Slc25a42" "Slc25a42"
"Snx9" "ENSMUSG00000002365_Snx9" "protein_coding" "17" "ENSMUSG00000002365" "Snx9" "Snx9"
"Ranbp3" "ENSMUSG00000002372_Ranbp3" "protein_coding" "17" "ENSMUSG00000002372" "Ranbp3" "Ranbp3"
"Ndufa11" "ENSMUSG00000002379_Ndufa11" "protein_coding" "17" "ENSMUSG00000002379" "Ndufa11" "Ndufa11"
"Bmp8b" "ENSMUSG00000002384_Bmp8b" "protein_coding" "4" "ENSMUSG00000002384" "Bmp8b" "Bmp8b"
"Nr2f6" "ENSMUSG00000002393_Nr2f6" "protein_coding" "8" "ENSMUSG00000002393" "Nr2f6" "Nr2f6"
"Use1" "ENSMUSG00000002395_Use1" "protein_coding" "8" "ENSMUSG00000002395" "Use1" "Use1"
"Ocel1" "ENSMUSG00000002396_Ocel1" "protein_coding" "8" "ENSMUSG00000002396" "Ocel1" "Ocel1"
"Dyrk1b" "ENSMUSG00000002409_Dyrk1b" "protein_coding" "7" "ENSMUSG00000002409" "Dyrk1b" "Dyrk1b"
"Braf" "ENSMUSG00000002413_Braf" "protein_coding" "6" "ENSMUSG00000002413" "Braf" "Braf"
"Ndufb2" "ENSMUSG00000002416_Ndufb2" "protein_coding" "6" "ENSMUSG00000002416" "Ndufb2" "Ndufb2"
"Hltf" "ENSMUSG00000002428_Hltf" "protein_coding" "3" "ENSMUSG00000002428" "Hltf" "Hltf"
"Prpf6" "ENSMUSG00000002455_Prpf6" "protein_coding" "2" "ENSMUSG00000002455" "Prpf6" "Prpf6"
"Rgs19" "ENSMUSG00000002458_Rgs19" "protein_coding" "2" "ENSMUSG00000002458" "Rgs19" "Rgs19"
"Rgs20" "ENSMUSG00000002459_Rgs20" "protein_coding" "1" "ENSMUSG00000002459" "Rgs20" "Rgs20"
"Abhd3" "ENSMUSG00000002475_Abhd3" "protein_coding" "18" "ENSMUSG00000002475" "Abhd3" "Abhd3"
"Snrpd1" "ENSMUSG00000002477_Snrpd1" "protein_coding" "18" "ENSMUSG00000002477" "Snrpd1" "Snrpd1"
"Tchp" "ENSMUSG00000002486_Tchp" "protein_coding" "5" "ENSMUSG00000002486" "Tchp" "Tchp"
"Tiam1" "ENSMUSG00000002489_Tiam1" "protein_coding" "16" "ENSMUSG00000002489" "Tiam1" "Tiam1"
"Tsc2" "ENSMUSG00000002496_Tsc2" "protein_coding" "17" "ENSMUSG00000002496" "Tsc2" "Tsc2"
"Rpl3l" "ENSMUSG00000002500_Rpl3l" "protein_coding" "17" "ENSMUSG00000002500" "Rpl3l" "Rpl3l"
"Slc9a3r2" "ENSMUSG00000002504_Slc9a3r2" "protein_coding" "17" "ENSMUSG00000002504" "Slc9a3r2" "Slc9a3r2"
"Puf60" "ENSMUSG00000002524_Puf60" "protein_coding" "15" "ENSMUSG00000002524" "Puf60" "Puf60"
"Golga2" "ENSMUSG00000002546_Golga2" "protein_coding" "2" "ENSMUSG00000002546" "Golga2" "Golga2"
"Uck1" "ENSMUSG00000002550_Uck1" "protein_coding" "2" "ENSMUSG00000002550" "Uck1" "Uck1"
"Scin" "ENSMUSG00000002565_Scin" "protein_coding" "12" "ENSMUSG00000002565" "Scin" "Scin"
"Ikzf4" "ENSMUSG00000002578_Ikzf4" "protein_coding" "10" "ENSMUSG00000002578" "Ikzf4" "Ikzf4"
"Mien1" "ENSMUSG00000002580_Mien1" "protein_coding" "11" "ENSMUSG00000002580" "Mien1" "Mien1"
"Pon1" "ENSMUSG00000002588_Pon1" "protein_coding" "6" "ENSMUSG00000002588" "Pon1" "Pon1"
"Axl" "ENSMUSG00000002602_Axl" "protein_coding" "7" "ENSMUSG00000002602" "Axl" "Axl"
"Tgfb1" "ENSMUSG00000002603_Tgfb1" "protein_coding" "7" "ENSMUSG00000002603" "Tgfb1" "Tgfb1"
